caseid,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1249937987,1,1,1.0,1,1,2,2.0,1.0,2.0,1.0,2.0,2.0,2,2,2.0,2,1,1,1,1,1,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1245012269,1,1,1.0,2,1,2,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2.0,2,1,1,1,1,2,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1241022359,1,1,2.0,2,1,2,1.0,2.0,2.0,1.0,2.0,2.0,2,2,2.0,1,1,1,1,1,1,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1239356641,2,1,1.0,1,2,1,2.0,1.0,1.0,1.0,1.0,2.0,1,2,2.0,2,2,2,2,1,1,1.0,1,2,1.0,1.0,2.0,1.0,2.0,2.0
1236207023,1,1,1.0,2,1,2,1.0,2.0,2.0,1.0,2.0,2.0,2,2,2.0,1,1,1,1,1,1,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1244526205,1,1,2.0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2.0,2,2,2,2,1,1,1.0,2,2,1.0,1.0,2.0,1.0,2.0,2.0
1245162103,2,2,1.0,1,2,1,2.0,1.0,1.0,2.0,2.0,1.0,1,1,2.0,2,2,2,2,2,1,1.0,1,2,2.0,2.0,2.0,1.0,2.0,2.0
1237598511,2,1,1.0,1,2,1,2.0,1.0,1.0,2.0,1.0,1.0,1,1,2.0,2,2,2,2,2,1,1.0,1,2,1.0,1.0,2.0,1.0,2.0,2.0
1242526779,1,1,1.0,2,2,1,1.0,2.0,2.0,1.0,1.0,1.0,2,2,2.0,2,1,1,1,1,1,1.0,1,2,1.0,1.0,1.0,1.0,1.0,2.0
1245177145,1,1,1.0,1,1,2,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2.0,2,1,1,2,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
1242478789,2,2,1.0,2,2,1,2.0,1.0,1.0,2.0,1.0,2.0,1,1,2.0,2,2,2,2,2,2,1.0,1,1,2.0,2.0,2.0,1.0,2.0,2.0
1234863299,2,1,1.0,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,2,2,2.0,2,1,2,2,1,2,1.0,1,2,2.0,2.0,2.0,2.0,2.0,2.0
1238079387,1,1,1.0,2,1,2,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2.0,1,1,2,1,1,1,1.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0
1235567217,1,1,2.0,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,2,2,2.0,2,2,1,1,1,2,1.0,1,2,1.0,2.0,2.0,1.0,1.0,2.0
1255869345,2,2,1.0,2,2,1,1.0,1.0,1.0,2.0,1.0,2.0,1,1,2.0,2,2,2,2,2,2,1.0,1,2,2.0,1.0,2.0,1.0,2.0,2.0
1242431703,1,1,1.0,2,1,2,1.0,2.0,2.0,1.0,2.0,2.0,2,2,2.0,1,1,1,1,1,1,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1237858209,2,1,2.0,1,2,1,2.0,1.0,1.0,2.0,1.0,1.0,1,1,2.0,1,2,1,2,2,2,1.0,1,2,1.0,2.0,1.0,1.0,2.0,2.0
1242787135,1,1,1.0,2,1,2,1.0,2.0,1.0,2.0,2.0,1.0,1,2,1.0,1,1,1,1,1,1,1.0,1,2,1.0,1.0,1.0,1.0,2.0,1.0
1240087623,2,1,1.0,1,2,1,1.0,1.0,1.0,2.0,2.0,1.0,1,1,1.0,2,2,2,2,1,2,1.0,1,2,2.0,1.0,2.0,1.0,2.0,2.0
1249863351,1,1,1.0,2,1,2,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2.0,1,1,2,1,2,1,1.0,2,2,1.0,2.0,1.0,1.0,1.0,2.0
1238294423,2,1,2.0,1,1,2,2.0,1.0,1.0,1.0,2.0,2.0,2,2,2.0,2,1,1,1,1,2,1.0,1,2,1.0,1.0,2.0,1.0,2.0,2.0
1237400307,1,1,2.0,2,2,1,1.0,1.0,1.0,2.0,2.0,1.0,1,1,1.0,2,1,2,2,1,1,1.0,1,2,2.0,1.0,1.0,1.0,2.0,2.0
1237464259,1,1,1.0,1,1,2,2.0,1.0,1.0,2.0,1.0,1.0,1,1,2.0,2,2,2,2,1,1,1.0,1,2,1.0,1.0,2.0,1.0,1.0,2.0
1238391153,1,1,2.0,2,1,2,1.0,1.0,1.0,2.0,1.0,1.0,2,2,2.0,2,1,1,2,1,2,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0
1239619389,2,1,1.0,1,1,2,1.0,1.0,2.0,1.0,1.0,2.0,2,1,2.0,2,1,1,1,1,1,1.0,1,2,1.0,1.0,2.0,1.0,1.0,2.0
1237561619,1,1,1.0,1,1,2,2.0,1.0,1.0,1.0,1.0,1.0,1,2,2.0,2,1,1,2,1,1,1.0,1,2,1.0,2.0,2.0,2.0,1.0,2.0
