,caseid,year__match_rate,pid3__match_rate,300_1__match_rate,300_2__match_rate,300_3__match_rate,300_4__match_rate,302__match_rate,303__match_rate,305_1__match_rate,305_2__match_rate,305_3__match_rate,305_4__match_rate,305_5__match_rate,305_6__match_rate,305_7__match_rate,305_9__match_rate,305_10__match_rate,305_11__match_rate,305_12__match_rate,305_13__match_rate,307__match_rate,309e__match_rate,309dx_1__match_rate,309dx_2__match_rate,309dx_3__match_rate,309dx_4__match_rate,309dx_5__match_rate,309dx_6__match_rate,309dx_7__match_rate,309dx_8__match_rate,310a__match_rate,310b__match_rate,320a__match_rate,320b__match_rate,320c__match_rate,327a__match_rate,327b__match_rate,327d__match_rate,330a__match_rate,330b__match_rate,330c__match_rate,331a__match_rate,331b__match_rate,331d__match_rate,332a__match_rate,332b__match_rate,332c__match_rate,332d__match_rate,332e__match_rate,332f__match_rate,332g__match_rate,333a__match_rate,333b__match_rate,333c__match_rate,333d__match_rate,334a__match_rate,334b__match_rate,334c__match_rate,334d__match_rate,334e__match_rate,334f__match_rate,334g__match_rate,334h__match_rate,355a__match_rate,355e__match_rate,363__match_rate,overall_match_rate_mean
0,1249937987,1.0,0.4,0.7,0.6,0.4,0.65,0.55,0.55,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.95,1.0,0.65,0.9,0.95,0.25,0.1,0.45,0.95,0.35,1.0,1.0,1.0,1.0,0.9,0.95,0.95,0.65,0.35,0.4,0.55,0.9,0.6,0.45,0.7,0.7,0.6,0.5,0.6,0.8,0.75,0.65,0.65,0.75,0.85,0.45,0.55,0.6,0.7,0.65,0.75,1.0,0.65,0.35,0.15,0.9,0.6,0.95,0.7368421052631579,0.5,0.05,0.6990430622009569
1,1244727923,1.0,0.35,0.95,0.55,0.45,0.75,0.7,0.1,1.0,0.1,0.9,1.0,1.0,0.9,0.95,1.0,0.85,0.25,0.75,0.9,0.0,0.3,0.3,0.85,0.55,1.0,0.9,0.95,0.95,0.85,0.6,0.8,0.75,0.4,0.35,0.8,0.9,0.7,0.35,0.7,0.75,0.7,0.5,0.65,0.75,0.75,0.55,0.65,0.7,0.9,0.4,0.9,0.85,0.75,0.95,0.85,0.95,0.8,0.6,0.8,0.8,0.6,0.85,0.8,0.5,0.0,0.6931818181818182
2,1242475831,1.0,0.25,0.3,0.7,0.5,0.65,0.35,0.7,1.0,0.95,1.0,0.9,1.0,1.0,0.95,0.9,0.75,0.85,1.0,0.95,0.1,0.3,0.4,0.95,0.4,1.0,0.95,1.0,0.95,0.95,0.9,0.9,0.5,0.2,0.3,0.5,0.85,0.65,0.4,0.7,0.3,0.75,0.3,0.55,0.5,0.5,0.75,0.45,0.6,0.95,0.3,0.7,0.65,0.55,0.65,0.15,0.9,0.55,0.4,0.65,0.7,0.65,0.7,0.5,0.3,0.5263157894736842,0.6534290271132376
3,1245012269,1.0,0.5,0.7,0.7,0.25,0.85,0.6,0.55,1.0,0.85,1.0,1.0,1.0,1.0,0.9,0.95,0.8,0.65,0.8,0.95,0.4,0.1,0.7,0.85,0.4,1.0,0.85,0.95,0.9,0.9,0.9,0.8,0.8,0.05,0.15,0.55,0.95,0.7,0.45,0.85,0.75,0.7,0.55,0.4,0.85,0.85,0.6,0.75,0.75,0.85,0.45,0.8,0.8,0.7,0.6,0.2,0.95,0.7,0.45,0.85,0.85,0.7,0.7,0.7,0.55,0.0,0.7022727272727272
4,1241022359,1.0,0.3,0.8,0.6,0.5,0.65,0.2,0.55,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.95,0.9,0.7,0.9,0.9,0.0,0.25,0.35,0.8,0.5,1.0,0.9,0.95,0.95,0.9,0.8,0.8,0.4,0.1,0.45,0.35,0.9,0.5,0.35,0.7,0.5,0.5,0.3,0.45,0.4,0.35,0.25,0.45,0.5,0.9,0.65,0.55,0.55,0.4,0.55,0.65,1.0,0.4,0.2,0.7,0.8,0.25,0.8,0.42105263157894735,0.3157894736842105,0.1,0.6172248803827751
5,1239356641,1.0,0.25,0.4,0.75,0.8,0.75,0.25,0.45,1.0,0.95,1.0,0.85,0.95,1.0,1.0,0.9,0.95,0.15,0.9,1.0,0.35,0.2,0.85,0.7,0.2,1.0,0.9,1.0,0.95,0.65,0.65,0.7,0.05,0.4,0.3,0.5,0.1,0.4,0.6,0.35,0.4,0.3,0.75,0.5,0.5,0.65,0.7,0.45,0.5,0.8,0.35,0.25,0.25,0.4,0.6,0.65,1.0,0.55,0.65,0.25,0.1,0.7,0.75,0.4,0.3,0.0,0.5893939393939394
6,1236207023,1.0,0.4,0.95,0.6,0.4,0.8,0.7,0.6,1.0,0.9,0.95,1.0,1.0,0.95,0.05,1.0,0.9,0.25,0.75,0.9,0.0,0.35,0.3,0.85,0.55,1.0,0.9,0.95,0.95,0.85,0.65,0.85,0.8,0.4,0.35,0.75,0.9,0.75,0.35,0.75,0.75,0.7,0.55,0.7,0.75,0.75,0.55,0.65,0.7,0.9,0.4,0.9,0.85,0.8,0.95,0.85,0.95,0.85,0.6,0.85,0.75,0.6,0.85,0.85,0.5,0.5,0.7181818181818183
7,1244526205,1.0,0.15,0.75,0.65,0.35,0.45,0.0,0.45,1.0,0.85,1.0,1.0,1.0,1.0,0.95,1.0,0.9,0.55,0.95,0.85,0.15,0.35,0.75,0.7,0.6,0.95,0.9,1.0,0.85,0.95,0.05,0.0,0.0,0.05,0.05,0.6,0.95,0.6,0.55,0.55,0.65,0.25,0.5789473684210527,0.3,0.55,0.65,0.35,0.6,0.45,0.9,0.5,0.6,0.55,0.45,0.55,0.8,0.9,0.35,0.5,0.7,0.95,0.45,0.7,0.4,0.35,0.0,0.5981658692185008
8,1232663321,1.0,0.35,0.45,0.7,0.75,0.6,0.65,0.1,1.0,0.95,1.0,0.95,1.0,1.0,1.0,1.0,0.85,0.6,0.95,0.95,0.2,0.3,0.5,0.95,0.55,1.0,1.0,1.0,1.0,0.9,0.95,1.0,0.65,0.25,0.35,0.65,0.95,0.65,0.4,0.75,0.65,0.7,0.4,0.65,0.7,0.75,0.65,0.7,0.75,0.9,0.25,0.65,0.7,0.65,0.65,0.7,1.0,0.65,0.4,0.9,0.9,0.45,0.75,0.75,0.35,0.7,0.7143939393939395
9,1245162103,1.0,0.5,0.65,0.65,0.7,0.15,0.1,0.45,1.0,1.0,1.0,0.05,1.0,1.0,0.95,1.0,0.9,0.3,0.9,0.95,0.65,0.4,0.2,0.95,0.5,1.0,0.95,0.95,0.95,0.7,0.7,0.85,0.5,0.5,0.5,0.55,0.15,0.5,0.3,0.4,0.3,0.4,0.75,0.5,0.5263157894736842,0.5,0.75,0.6,0.6,0.85,0.6,0.4,0.4,0.6,0.3,0.55,0.05,0.5,0.7,0.2,0.85,0.65,0.7,0.55,0.85,0.65,0.617822966507177
