,caseid,year__match_rate,pid3__match_rate,300_1__match_rate,300_2__match_rate,300_3__match_rate,300_4__match_rate,302__match_rate,303__match_rate,305_1__match_rate,305_2__match_rate,305_3__match_rate,305_4__match_rate,305_5__match_rate,305_6__match_rate,305_7__match_rate,305_9__match_rate,305_10__match_rate,305_11__match_rate,305_12__match_rate,305_13__match_rate,307__match_rate,309e__match_rate,309dx_1__match_rate,309dx_2__match_rate,309dx_3__match_rate,309dx_4__match_rate,309dx_5__match_rate,309dx_6__match_rate,309dx_7__match_rate,309dx_8__match_rate,310a__match_rate,310b__match_rate,320a__match_rate,320b__match_rate,320c__match_rate,327a__match_rate,327b__match_rate,327d__match_rate,330a__match_rate,330b__match_rate,330c__match_rate,331a__match_rate,331b__match_rate,331d__match_rate,332a__match_rate,332b__match_rate,332c__match_rate,332d__match_rate,332e__match_rate,332f__match_rate,332g__match_rate,333a__match_rate,333b__match_rate,333c__match_rate,333d__match_rate,334a__match_rate,334b__match_rate,334c__match_rate,334d__match_rate,334e__match_rate,334f__match_rate,334g__match_rate,334h__match_rate,355a__match_rate,355e__match_rate,363__match_rate,overall_match_rate_mean
0,1249937987,1.0,0.44,0.72,0.64,0.4,0.72,0.64,0.48,1.0,0.92,1.0,0.88,1.0,1.0,0.96,0.96,0.96,0.6,0.92,0.96,0.28,0.16,0.52,0.92,0.28,1.0,0.92,1.0,0.96,0.92,0.92,0.96,0.72,0.4,0.4,0.64,0.92,0.68,0.52,0.76,0.72,0.68,0.48,0.68,0.8,0.68,0.64,0.68,0.76,0.84,0.44,0.64,0.68,0.76,0.72,0.76,1.0,0.68,0.36,0.12,0.92,0.64,0.96,0.7916666666666666,0.56,0.04,0.7138131313131314
1,1244727923,1.0,0.36,0.96,0.6,0.48,0.76,0.76,0.12,1.0,0.12,0.92,1.0,1.0,0.92,0.92,1.0,0.84,0.36,0.76,0.88,0.0,0.4,0.32,0.88,0.52,1.0,0.88,0.96,0.96,0.8,0.68,0.84,0.8,0.44,0.36,0.76,0.92,0.76,0.4,0.72,0.76,0.72,0.6,0.72,0.76,0.76,0.56,0.72,0.76,0.92,0.36,0.92,0.88,0.8,0.96,0.84,0.96,0.84,0.56,0.8,0.8,0.6,0.88,0.84,0.52,0.0,0.712121212121212
2,1242475831,1.0,0.28,0.36,0.76,0.52,0.64,0.28,0.72,1.0,0.92,1.0,0.92,1.0,1.0,0.96,0.92,0.8,0.8,0.96,0.96,0.12,0.36,0.44,0.96,0.44,0.96,0.92,1.0,0.96,0.96,0.88,0.88,0.56,0.2,0.32,0.56,0.84,0.68,0.48,0.72,0.28,0.76,0.32,0.6,0.44,0.48,0.64,0.4,0.56,0.96,0.32,0.68,0.68,0.6,0.68,0.2,0.92,0.6,0.36,0.68,0.72,0.6,0.68,0.56,0.28,0.4583333333333333,0.6590656565656566
3,1245012269,1.0,0.48,0.76,0.68,0.28,0.8,0.52,0.6,0.96,0.84,1.0,1.0,1.0,1.0,0.92,0.96,0.84,0.6,0.8,0.96,0.36,0.08,0.64,0.84,0.48,1.0,0.88,0.96,0.92,0.92,0.92,0.84,0.72,0.08,0.12,0.48,0.92,0.64,0.4,0.76,0.72,0.68,0.52,0.4,0.76,0.8,0.52,0.64,0.64,0.84,0.44,0.76,0.68,0.6,0.6,0.2,0.96,0.6,0.4,0.8,0.76,0.64,0.68,0.64,0.52,0.0,0.6781818181818181
4,1241022359,1.0,0.24,0.72,0.6,0.52,0.6,0.28,0.48,0.96,1.0,1.0,0.92,1.0,1.0,1.0,0.96,0.92,0.64,0.92,0.84,0.0,0.28,0.32,0.8,0.52,1.0,0.92,0.96,0.96,0.92,0.84,0.84,0.36,0.12,0.48,0.32,0.88,0.44,0.32,0.6,0.44,0.44,0.28,0.44,0.36,0.4,0.28,0.4,0.48,0.84,0.64,0.6,0.48,0.36,0.48,0.64,0.92,0.4,0.2,0.6,0.72,0.28,0.72,0.375,0.2916666666666667,0.12,0.6010101010101009
5,1239356641,1.0,0.28,0.4,0.72,0.84,0.76,0.24,0.52,1.0,0.96,1.0,0.88,0.96,0.96,1.0,0.92,0.96,0.24,0.92,1.0,0.32,0.24,0.84,0.72,0.2,1.0,0.88,1.0,0.96,0.6,0.64,0.72,0.16,0.4,0.3333333333333333,0.56,0.12,0.44,0.68,0.4,0.44,0.4,0.76,0.44,0.6,0.6,0.76,0.52,0.56,0.76,0.32,0.36,0.32,0.44,0.56,0.6,1.0,0.52,0.68,0.28,0.12,0.72,0.72,0.52,0.28,0.04,0.6074747474747475
6,1236207023,1.0,0.36,0.96,0.6,0.44,0.8,0.72,0.56,1.0,0.88,0.92,1.0,1.0,0.92,0.08,1.0,0.84,0.36,0.76,0.92,0.0,0.4,0.28,0.88,0.56,1.0,0.88,0.96,0.96,0.76,0.64,0.8,0.76,0.4,0.32,0.72,0.92,0.72,0.4,0.72,0.72,0.68,0.56,0.68,0.72,0.72,0.56,0.72,0.76,0.92,0.32,0.92,0.88,0.8,0.92,0.8,0.96,0.8,0.56,0.76,0.76,0.56,0.84,0.84,0.48,0.52,0.7115151515151514
7,1244526205,1.0,0.24,0.8,0.64,0.32,0.52,0.04,0.48,0.96,0.8,1.0,1.0,1.0,1.0,0.96,1.0,0.88,0.56,0.92,0.88,0.16,0.36,0.68,0.76,0.6,0.96,0.88,1.0,0.88,0.96,0.04,0.0,0.0,0.04,0.04,0.6,0.96,0.52,0.56,0.52,0.56,0.28,0.5833333333333334,0.28,0.64,0.56,0.32,0.64,0.44,0.92,0.56,0.64,0.64,0.44,0.64,0.76,0.92,0.36,0.52,0.72,0.88,0.44,0.68,0.4,0.32,0.0,0.6009595959595959
8,1232663321,1.0,0.28,0.36,0.64,0.64,0.68,0.56,0.12,1.0,0.92,1.0,0.96,1.0,1.0,0.96,1.0,0.88,0.56,0.96,0.92,0.24,0.24,0.44,0.88,0.6,1.0,1.0,1.0,1.0,0.88,0.88,0.92,0.64,0.24,0.28,0.64,0.88,0.56,0.44,0.72,0.64,0.68,0.36,0.6,0.64,0.72,0.56,0.6,0.72,0.88,0.2,0.64,0.68,0.56,0.64,0.72,1.0,0.64,0.36,0.88,0.92,0.4,0.8,0.68,0.36,0.72,0.6896969696969696
9,1245162103,1.0,0.48,0.72,0.72,0.64,0.2,0.08,0.48,1.0,1.0,1.0,0.04,1.0,1.0,0.96,1.0,0.88,0.28,0.88,0.96,0.68,0.36,0.24,0.96,0.52,1.0,0.96,0.96,0.96,0.72,0.72,0.84,0.56,0.44,0.48,0.6,0.12,0.52,0.28,0.48,0.4,0.44,0.8,0.44,0.5833333333333334,0.48,0.76,0.64,0.64,0.84,0.64,0.48,0.48,0.64,0.4,0.48,0.04,0.6,0.76,0.28,0.84,0.64,0.76,0.6,0.84,0.68,0.6348989898989899
10,1237598511,1.0,0.4,0.64,0.64,0.4,0.68,0.2,0.04,1.0,0.92,1.0,0.88,1.0,1.0,0.96,0.96,0.92,0.64,0.92,0.92,0.32,0.04,0.44,0.92,0.32,1.0,1.0,1.0,0.96,0.92,0.92,0.96,0.2,0.36,0.4,0.36,0.92,0.32,0.52,0.24,0.28,0.36,0.44,0.32,0.2,0.28,0.36,0.32,0.24,0.84,0.44,0.36,0.32,0.24,0.28,0.76,1.0,0.68,0.36,0.88,0.92,0.4,0.96,0.20833333333333334,0.48,0.72,0.6043686868686868
11,1242526779,1.0,0.0,0.28,0.28,0.52,0.48,0.28,0.04,0.96,0.96,1.0,0.12,1.0,1.0,0.96,0.96,0.96,0.76,0.88,0.96,0.04,0.0,0.6,0.92,0.36,1.0,0.96,1.0,0.96,0.04,0.0,0.0,0.4,0.44,0.6,0.28,0.76,0.4,0.4,0.44,0.64,0.4,0.2,0.52,0.44,0.64,0.28,0.36,0.4,0.84,0.24,0.48,0.44,0.4,0.44,0.64,0.92,0.6,0.76,0.6,0.64,0.4,0.56,0.4,0.76,0.64,0.5551515151515151
12,1245177145,1.0,0.32,0.68,0.6,0.48,0.36,0.28,0.44,0.92,0.96,1.0,0.96,1.0,1.0,0.88,1.0,0.84,0.72,0.88,1.0,0.24,0.2,0.4,0.92,0.52,1.0,0.96,1.0,0.96,0.88,0.88,0.88,0.44,0.28,0.6,0.4,0.8,0.48,0.4,0.52,0.6,0.64,0.68,0.6,0.6,0.64,0.36,0.32,0.44,0.96,0.64,0.52,0.44,0.48,0.52,0.64,1.0,0.4,0.24,0.76,0.76,0.36,0.8,0.44,0.72,0.12,0.6478787878787878
13,1240705581,1.0,0.4,0.88,0.56,0.6,0.72,0.24,0.56,1.0,0.96,1.0,0.92,1.0,0.96,0.88,1.0,0.92,0.6,0.88,0.88,0.48,0.28,0.72,0.84,0.44,0.96,0.92,1.0,0.92,0.84,0.16,0.72,0.44,0.4,0.24,0.52,0.88,0.48,0.28,0.48,0.48,0.52,0.64,0.44,0.6,0.6,0.32,0.56,0.4,0.12,0.48,0.48,0.44,0.44,0.68,0.24,0.96,0.6,0.8,0.6,0.76,0.56,0.28,0.48,0.72,0.68,0.6339393939393939
14,1242478789,1.0,0.36,0.8,0.72,0.64,0.24,0.44,0.24,1.0,0.96,1.0,1.0,1.0,1.0,0.88,1.0,0.96,0.68,0.84,0.88,0.64,0.52,0.76,0.88,0.56,0.96,0.92,0.96,0.96,0.8,0.88,0.92,0.52,0.56,0.6,0.6,0.875,0.52,0.84,0.44,0.24,0.48,0.8,0.4583333333333333,0.52,0.44,0.76,0.56,0.6,0.8,0.64,0.4,0.48,0.6,0.52,0.64,0.84,0.56,0.64,0.2,0.76,0.6,0.44,0.52,0.8,0.6,0.6856565656565655
15,1234863299,1.0,0.2,0.8,0.88,0.56,0.76,0.0,0.0,1.0,0.96,1.0,0.92,1.0,1.0,1.0,1.0,0.8,0.68,0.0,0.92,0.52,0.24,0.52,0.88,0.6,1.0,0.96,1.0,0.96,0.88,0.08,0.08,0.16,0.28,0.0,0.32,0.96,,0.4,0.76,0.72,0.88,0.64,0.6,0.8,0.44,0.4,0.24,0.64,0.88,0.6,0.8,0.68,0.72,0.76,0.16,1.0,0.44,0.52,0.96,0.12,0.4,0.28,,0.48,0.44,0.62
16,1238079387,1.0,0.0,0.76,0.84,0.36,0.2,0.52,0.56,1.0,0.96,1.0,0.92,1.0,1.0,0.96,1.0,0.84,0.84,0.76,0.92,0.16,0.48,0.72,0.8,0.44,1.0,0.92,1.0,0.96,0.88,0.72,0.8,0.76,0.4,0.2,0.68,0.96,0.72,0.64,0.88,0.88,0.92,0.48,0.6,0.64,0.72,0.52,0.88,0.84,0.92,0.36,0.84,0.76,0.76,0.72,0.56,0.92,0.44,0.6,0.88,0.8,0.52,0.8,0.72,0.24,0.04,0.7109090909090909
17,1246578297,1.0,0.48,0.96,0.72,0.52,0.8,0.56,0.56,0.96,0.88,1.0,0.96,1.0,1.0,0.96,1.0,0.8,0.28,0.2,1.0,0.36,0.2,0.76,0.76,0.44,1.0,0.92,0.96,0.92,0.84,0.84,0.84,0.68,0.32,0.32,0.64,0.92,0.6,0.48,0.76,0.6,0.76,0.44,0.76,0.6,0.52,0.56,0.64,0.64,0.84,0.68,0.76,0.76,0.6,0.72,0.68,0.96,0.68,0.4,0.88,0.76,0.64,0.76,0.6666666666666666,0.24,0.64,0.7028282828282828
18,1235567217,1.0,0.36,0.6,0.64,0.36,0.68,0.2,0.48,1.0,0.92,1.0,0.96,1.0,1.0,0.96,1.0,0.88,0.56,0.96,0.92,0.2,0.16,0.52,0.88,0.6,1.0,1.0,1.0,1.0,0.08,0.04,0.0,0.6,0.2,0.32,0.64,0.08,0.44,0.44,0.72,0.64,0.68,0.64,0.56,0.32,0.28,0.44,0.4,0.72,0.88,0.8,0.6,0.64,0.52,0.6,0.72,1.0,0.6,0.32,0.88,0.92,0.6,0.8,0.64,0.32,0.72,0.6309090909090909
19,1236688157,1.0,0.32,0.76,0.32,0.64,0.32,0.44,0.44,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.56,0.72,0.96,0.25,0.125,0.68,0.8,0.68,0.92,0.84,0.92,0.84,0.16,0.76,0.84,0.48,0.36,0.4583333333333333,0.48,0.88,0.64,0.44,0.4,0.72,0.68,0.56,0.36,0.6,0.48,0.56,0.52,0.52,0.8,0.48,0.64,0.6,0.52,0.72,0.8,0.88,0.44,0.64,0.24,0.32,0.52,0.8,0.56,0.56,0.72,0.642929292929293
20,1255869345,1.0,0.28,0.72,0.68,0.48,0.76,0.08,0.6,0.96,0.96,1.0,1.0,1.0,1.0,0.96,0.96,0.92,0.6,0.96,0.88,0.6,0.32,0.68,0.96,0.44,1.0,0.96,1.0,1.0,0.88,0.96,0.96,0.28,0.32,0.48,0.48,0.96,0.4,0.2,0.44,0.6,0.64,0.6,0.52,0.4,0.36,0.48,0.36,0.44,1.0,0.64,0.64,0.56,0.56,0.68,0.28,0.88,0.4,0.32,0.32,0.88,0.4,0.32,0.4,0.52,0.28,0.6454545454545455
21,1242431703,1.0,0.32,0.6,0.64,0.28,0.16,0.44,0.6,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.96,0.92,0.64,0.92,0.84,0.64,0.16,0.4,0.96,0.28,1.0,1.0,1.0,1.0,0.92,0.68,0.8,0.44,0.44,0.36,0.44,0.92,0.48,0.4,0.76,0.64,0.6,0.32,0.48,0.56,0.64,0.36,0.4,0.4,0.76,0.24,0.64,0.52,0.48,0.56,0.68,1.0,0.36,0.28,0.6,0.88,0.44,0.6,0.56,0.28,0.28,0.6351515151515151
22,1237858209,1.0,0.16,0.2,0.88,0.6,0.24,0.16,0.68,1.0,0.96,1.0,0.92,1.0,1.0,1.0,1.0,0.84,0.64,1.0,0.88,0.52,0.08,0.48,0.88,0.4,1.0,0.96,1.0,0.96,0.88,0.84,0.84,0.16,0.04,0.4,0.32,0.96,0.36,0.6,0.24,0.24,0.12,0.64,0.4,0.16,0.6,0.4,0.24,0.36,0.88,0.4,0.2,0.32,0.28,0.2,0.16,1.0,0.44,0.52,0.92,0.08,0.4,0.24,0.28,0.48,0.44,0.5678787878787879
23,1242787135,1.0,0.44,0.88,0.72,0.72,0.8,0.32,0.08,0.96,0.92,1.0,0.92,0.96,1.0,1.0,1.0,0.8,0.56,0.96,0.96,0.32,0.16,0.76,0.88,0.4,1.0,0.84,1.0,0.96,0.64,0.72,0.76,0.48,0.28,0.44,0.52,0.92,0.52,0.44,0.64,0.64,0.56,0.32,0.48,0.48,0.44,0.68,0.6,0.44,0.24,0.56,0.52,0.48,0.52,0.64,0.72,0.88,0.48,0.64,0.8,0.76,0.44,0.76,0.52,0.72,0.0,0.6515151515151515
24,1242429083,1.0,0.32,0.64,0.36,0.52,0.64,0.32,0.48,0.96,0.96,1.0,0.96,1.0,1.0,0.08,1.0,0.84,0.24,0.88,1.0,0.0,0.2,0.64,0.92,0.48,1.0,0.96,1.0,0.96,0.88,0.88,0.88,0.48,0.2,0.12,0.44,0.84,0.52,0.4,0.56,0.64,0.68,0.36,0.6,0.44,0.4,0.4,0.36,0.48,0.96,0.64,0.56,0.48,0.52,0.56,0.68,1.0,0.44,0.24,0.76,0.8,0.4,0.84,0.48,0.28,0.84,0.6272727272727273
25,1249716071,1.0,0.48,0.76,0.72,0.32,0.6,0.48,0.32,1.0,0.92,1.0,0.96,0.96,1.0,0.96,0.96,0.84,0.24,0.96,0.96,0.2,0.24,0.8,0.76,0.36,1.0,0.84,1.0,0.88,0.64,0.72,0.64,0.48,0.2,0.36,0.6,0.96,0.56,0.52,0.56,0.32,0.6,0.4,0.44,0.52,0.56,0.4,0.6,0.56,0.84,0.28,0.68,0.6,0.6,0.64,0.76,1.0,0.48,0.36,0.84,0.8,0.4,0.68,0.44,0.76,0.56,0.6496969696969698
26,1240087623,1.0,0.24,0.6,0.36,0.36,0.68,0.2,0.48,1.0,0.92,1.0,0.96,1.0,1.0,0.96,1.0,0.88,0.44,0.96,0.92,0.64,0.24,0.48,0.88,0.6,1.0,1.0,1.0,1.0,0.92,0.92,0.96,0.28,0.2,0.28,0.36,0.92,0.44,0.56,0.28,0.36,0.68,0.64,0.44,0.32,0.72,0.44,0.4,0.28,0.12,0.8,0.4,0.36,0.48,0.4,0.72,1.0,0.4,0.68,0.12,0.08,0.6,0.8,0.36,0.68,0.24,0.6127272727272728
27,1237032173,1.0,0.28,0.72,0.32,0.36,0.8,0.28,0.04,1.0,1.0,1.0,0.96,1.0,1.0,0.96,1.0,0.88,0.72,0.88,0.96,0.68,0.36,0.2,0.96,0.52,1.0,0.96,0.96,0.96,0.68,0.72,0.84,0.28,0.32,0.44,0.4,0.88,0.44,0.76,0.52,0.56,0.56,0.2,0.44,0.375,0.44,0.8,0.32,0.32,0.84,0.36,0.48,0.52,0.32,0.6,0.48,0.96,0.4,0.24,0.32,0.8,0.68,0.72,0.36,0.12,0.68,0.6202272727272726
28,1249863351,1.0,0.32,0.6,0.4,0.28,0.8,0.4,0.6,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.96,0.92,0.64,0.92,0.84,0.16,0.32,0.36,0.96,0.28,1.0,1.0,1.0,1.0,0.92,0.72,0.84,0.44,0.32,0.4,0.48,0.92,0.48,0.6,0.76,0.64,0.6,0.32,0.48,0.56,0.64,0.32,0.4,0.4,0.76,0.24,0.68,0.44,0.48,0.56,0.68,1.0,0.4,0.32,0.64,0.92,0.48,0.6,0.56,0.32,0.0,0.636969696969697
29,1237908889,1.0,0.44,0.76,0.76,0.6,0.6,0.68,0.48,1.0,0.88,1.0,1.0,1.0,1.0,0.88,0.96,0.84,0.6,0.88,0.16,0.08,0.56,0.68,0.88,0.48,0.96,0.92,1.0,1.0,0.88,0.84,0.88,0.72,0.24,0.28,0.8,1.0,0.84,0.68,0.8,0.8,0.76,0.48,0.64,0.84,0.6,0.48,0.84,0.84,0.92,0.4,0.88,0.84,0.8,0.76,0.92,0.96,0.72,0.52,0.88,0.88,0.64,0.76,0.76,0.52,0.76,0.746060606060606
30,1244694681,1.0,0.0,0.24,0.24,0.36,0.6,0.08,0.44,1.0,0.88,1.0,1.0,1.0,1.0,0.92,0.96,0.84,0.44,0.88,0.84,0.68,0.24,0.32,0.16,0.44,0.96,0.08,1.0,1.0,0.88,0.12,0.84,0.72,0.04,0.16,0.8,1.0,0.8,0.32,0.8,0.8,0.24,0.56,0.6,0.84,0.6,0.44,0.8,0.84,0.92,0.4,0.12,0.84,0.2,0.76,0.92,0.96,0.68,0.52,0.12,0.12,0.4,0.76,0.76,0.48,0.76,0.6139393939393939
31,1238294423,1.0,0.36,0.68,0.72,0.32,0.84,0.4,0.76,0.96,0.96,1.0,0.96,0.96,1.0,0.96,0.92,0.8,0.76,0.8,0.96,0.12,0.36,0.72,0.28,0.52,0.96,0.96,1.0,0.92,0.92,0.2,0.12,0.28,0.24,0.36,0.52,0.92,0.52,0.76,0.64,0.56,0.48,0.72,0.6,0.6,0.36,0.4,0.56,0.44,0.76,0.76,0.52,0.52,0.6,0.44,0.6,0.96,0.6,0.72,0.68,0.84,0.6,0.88,0.44,0.64,0.04,0.6478787878787878
32,1237400307,1.0,0.44,0.72,0.28,0.84,0.68,0.08,0.56,0.96,0.96,1.0,0.96,0.0,1.0,0.96,1.0,0.92,0.56,0.96,0.88,0.48,0.44,0.72,0.84,0.52,0.96,0.84,0.96,1.0,0.76,0.2,0.72,0.2,0.24,0.44,0.6,0.84,0.68,0.68,0.56,0.4,0.64,0.84,0.52,0.6,0.44,0.52,0.52,0.6,0.28,0.64,0.56,0.4,0.32,0.64,0.68,1.0,0.76,0.24,0.56,0.8,0.36,0.72,0.6,0.8,0.8,0.6466666666666665
33,1237464259,1.0,0.36,0.8,0.28,0.64,0.76,0.44,0.16,1.0,0.96,1.0,1.0,1.0,1.0,0.88,1.0,0.96,0.68,0.84,0.88,0.64,0.28,0.76,0.88,0.56,0.96,0.92,0.96,0.96,0.8,0.88,0.0,0.52,0.28,0.6,0.4,0.875,0.48,0.16,0.56,0.76,0.52,0.8,0.5416666666666666,0.52,0.56,0.76,0.56,0.6,0.8,0.64,0.6,0.48,0.6,0.48,0.36,0.84,0.56,0.64,0.8,0.24,0.6,0.56,0.52,0.8,0.0,0.6554040404040403
34,1239831951,1.0,0.08,0.96,0.6,0.52,0.76,0.12,0.12,1.0,0.88,0.92,1.0,1.0,0.08,0.92,1.0,0.84,0.64,0.76,0.88,0.52,0.48,0.32,0.88,0.48,1.0,0.88,0.96,0.96,0.8,0.16,0.84,0.8,0.44,0.36,0.24,0.92,0.76,0.6,0.28,0.76,0.72,0.6,0.72,0.24,0.76,0.44,0.72,0.24,0.92,0.64,0.92,0.12,0.2,0.96,0.84,0.96,0.84,0.44,0.8,0.8,0.4,0.88,0.84,0.52,0.52,0.6600000000000001
35,1238391153,1.0,0.52,0.28,0.68,0.76,0.84,0.2,0.6,1.0,0.84,1.0,1.0,1.0,1.0,0.92,0.96,0.84,0.64,0.2,0.96,0.36,0.32,0.68,0.84,0.48,1.0,0.88,0.96,0.92,0.92,0.04,0.08,0.76,0.32,0.36,0.52,0.04,0.68,0.4,0.8,0.72,0.72,0.48,0.56,0.2,0.2,0.44,0.68,0.32,0.84,0.48,0.8,0.72,0.64,0.36,0.76,0.96,0.4,0.4,0.84,0.8,0.64,0.72,0.32,0.44,0.24,0.6254545454545454
36,1239619389,1.0,0.48,0.16,0.76,0.52,0.68,0.36,0.68,0.92,0.96,1.0,1.0,1.0,0.96,0.92,1.0,0.92,0.48,0.88,0.88,0.6,0.2,0.4,0.88,0.6,1.0,0.92,1.0,1.0,0.88,0.76,0.76,0.48,0.52,0.0,0.4583333333333333,0.88,0.6,0.68,0.64,0.6,0.52,0.72,0.56,0.56,0.44,0.4,0.56,0.56,0.88,0.36,0.6,0.56,0.56,0.6,0.56,0.92,0.6,0.64,0.68,0.88,0.64,0.76,0.68,0.6,0.72,0.681489898989899
37,1239677341,1.0,0.36,0.84,0.72,0.48,0.68,0.24,0.64,0.92,0.96,1.0,1.0,1.0,0.96,0.92,1.0,0.92,0.48,0.88,0.88,0.24,0.04,0.6,0.88,0.56,1.0,0.92,1.0,1.0,0.08,0.72,0.76,0.48,0.48,0.36,0.5416666666666666,0.88,0.6,0.64,0.64,0.36,0.52,0.68,0.56,0.56,0.56,0.4,0.56,0.44,0.88,0.32,0.6,0.56,0.56,0.6,0.56,0.92,0.6,0.36,0.68,0.88,0.36,0.76,0.68,0.4,0.16,0.6488131313131313
38,1237561619,1.0,0.32,0.8,0.72,0.64,0.76,0.4,0.12,1.0,0.96,1.0,1.0,1.0,1.0,0.88,1.0,0.0,0.68,0.84,0.08,0.64,0.52,0.72,0.88,0.52,0.96,0.92,0.96,0.96,0.8,0.88,0.92,0.48,0.52,0.6,0.56,0.875,0.48,0.84,0.56,0.76,0.44,0.76,0.4166666666666667,0.48,0.52,0.76,0.56,0.6,0.8,0.36,0.6,0.52,0.56,0.48,0.64,0.84,0.52,0.64,0.8,0.72,0.56,0.52,0.48,0.8,0.6,0.6747222222222221
39,1246439677,1.0,0.16,0.28,0.24,0.48,0.44,0.28,0.6,0.96,0.96,1.0,0.88,1.0,1.0,0.96,0.96,0.96,0.76,0.88,0.96,0.04,0.12,0.4,0.92,0.6,1.0,0.96,1.0,0.96,0.96,0.92,0.96,0.36,0.4,0.12,0.24,0.72,0.36,0.36,0.56,0.64,0.36,0.16,0.48,0.56,0.64,0.68,0.64,0.6,0.12,0.2,0.44,0.4,0.36,0.4,0.64,0.88,0.36,0.2,0.56,0.6,0.36,0.52,0.36,0.2,0.32,0.5818181818181818
40,1245946359,1.0,0.36,0.88,0.56,0.6,0.28,0.04,0.56,1.0,0.96,1.0,0.92,1.0,0.96,0.88,1.0,0.92,0.6,0.88,0.88,0.48,0.28,0.28,0.84,0.44,0.96,0.92,1.0,0.92,0.84,0.72,0.72,0.28,0.08,0.52,0.48,0.88,0.52,0.72,0.48,0.48,0.48,0.64,0.56,0.4,0.4,0.68,0.44,0.6,0.88,0.48,0.52,0.44,0.56,0.68,0.76,0.96,0.6,0.8,0.6,0.76,0.56,0.72,0.52,0.72,0.68,0.6599999999999999
41,1244579131,1.0,0.4,0.76,0.68,0.64,0.32,0.4,0.36,0.92,0.92,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.36,0.68,0.96,0.5833333333333334,0.041666666666666664,0.36,0.84,0.72,0.92,0.92,0.92,0.88,0.76,0.72,0.84,0.16,0.32,0.375,0.44,0.88,0.36,0.44,0.44,0.36,0.36,0.56,0.4,0.44,0.64,0.56,0.52,0.48,0.28,0.44,0.4,0.36,0.48,0.28,0.84,0.12,0.44,0.6,0.24,0.32,0.44,0.24,0.44,0.56,0.72,0.5727272727272728
42,1237467169,1.0,0.36,0.84,0.2,0.72,0.36,0.04,0.12,0.96,0.88,1.0,0.92,1.0,1.0,0.92,0.96,0.2,0.68,0.92,1.0,0.32,0.4,0.68,0.88,0.56,0.96,0.2,0.92,0.08,0.16,0.08,0.76,0.0,0.24,0.4,0.5,0.9166666666666666,0.56,0.4,0.4,0.48,0.64,0.68,0.6,0.52,0.48,0.68,0.56,0.52,0.88,0.6,0.64,0.52,0.48,0.32,0.88,0.92,0.44,0.76,0.84,0.88,0.36,0.88,0.56,0.68,0.84,0.6081313131313132
43,1255945721,1.0,0.56,0.64,0.48,0.64,0.36,0.28,0.16,1.0,0.96,1.0,1.0,1.0,1.0,0.92,0.92,0.8,0.36,0.24,0.96,0.24,0.64,0.44,0.88,0.32,1.0,0.92,1.0,1.0,0.96,0.88,0.96,0.64,0.44,0.56,0.56,0.92,0.64,0.56,0.68,0.64,0.68,0.4,0.76,0.72,0.76,0.68,0.52,0.56,0.92,0.32,0.72,0.6,0.72,0.2,0.8,0.96,0.6,0.44,0.92,0.84,0.44,0.68,0.68,0.28,0.08,0.6733333333333333
44,1241126287,1.0,0.44,0.76,0.76,0.8,0.64,0.4,0.12,1.0,0.92,1.0,0.96,0.96,1.0,0.92,0.96,0.84,0.24,0.84,1.0,0.08,0.28,0.84,0.32,0.52,0.96,0.84,1.0,0.96,0.8,0.92,0.88,0.56,0.28,0.04,0.48,0.9583333333333334,0.52,0.52,0.48,0.6,0.6,0.2,0.48,0.52,0.64,0.44,0.48,0.48,0.72,0.72,0.64,0.56,0.52,0.52,0.64,0.88,0.32,0.4,0.72,0.8,0.36,0.68,0.6,0.32,0.16,0.6333080808080807
45,1237703171,1.0,0.36,0.68,0.6,0.52,0.64,0.28,0.44,0.92,0.96,1.0,0.96,1.0,1.0,0.88,1.0,0.84,0.72,0.88,1.0,0.72,0.0,0.6,0.92,0.52,1.0,0.96,1.0,0.96,0.12,0.88,0.88,0.16,0.28,0.6,0.4,0.8,0.52,0.6,0.52,0.4,0.64,0.68,0.4,0.6,0.64,0.64,0.68,0.56,0.96,0.64,0.48,0.56,0.52,0.48,0.36,1.0,0.6,0.76,0.24,0.24,0.64,0.2,0.56,0.72,0.0,0.6412121212121211
46,1241743255,1.0,0.32,0.32,0.76,0.48,0.52,0.12,0.04,0.96,0.96,1.0,0.88,1.0,1.0,1.0,0.04,0.96,0.24,0.92,0.96,0.76,0.52,0.56,0.92,0.6,1.0,0.96,1.0,0.96,0.96,0.92,0.96,0.56,0.4,0.6,0.72,0.76,0.6,0.4,0.56,0.64,0.6,0.8,0.48,0.56,0.68,0.68,0.64,0.64,0.84,0.2,0.52,0.56,0.6,0.56,0.64,0.88,0.6,0.76,0.44,0.6,0.64,0.52,0.6,0.76,0.68,0.6715151515151514
